Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
MAIN_u32TskCtr1ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr1ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr1ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr200ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr200ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr200ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr20ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr20ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr20ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr2ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr2ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr2ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr50ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr50ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr50ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_u32TskCtr5ms|uint32|MAIN|0|0|0|MAIN_u32TskCtr5ms|0|0|Déci|-||||Main|Main||MAIN_u32TskCtr5ms||1||||||||0|1||||1|0|0||0|||||0|
MAIN_bMSGRxToutBenchOnC|boolean|MAIN|0|0|0|MAIN_bMSGRxToutBenchOnC|0|0|Phys|bool|2|0||Developpement|Developpement||MAIN_bMSGRxToutBenchOnC||2|||||||NONE|1|1||||1|0|0|COM MSG Rx activation|0||||||

MAIN_MSGRxBenchOnC|boolean|MAIN|0|0|0|MAIN_MSGRxBenchOnC|0|0|Phys|bool|2|0||Communication|Communication||MAIN_MSGRxBenchOnC||2|||||||NONE|1|1||||1|0|0|Rx MSG activation|0||||||
MAIN_bMSGRxToutBenchOnC|boolean|MAIN|0|0|0|MAIN_bMSGRxToutBenchOnC|0|0|Phys|bool|2|0||Developpement|Developpement||MAIN_bMSGRxToutBenchOnC||2|||||||NONE|1|1||||1|0|0|COM MSG Rx activation|0||||||
MAIN_MSGTxBenchOnC|boolean|MAIN|0|0|0|MAIN_MSGTxBenchOnC|0|0|Phys|bool|2|0||Communication|Communication||MAIN_MSGTxBenchOnC||2|||||||NONE|1|1||||1|0|0|Tx MSG activation|0||||||
MAIN_MSGu16WhlSpdFrntLeRaw|uint16|MAIN|0|0|0|MAIN_MSGu16WhlSpdFrntLeRaw|0|0|Hexa|-||||Communication|ABS1|Raw|MAIN_MSGu16WhlSpdFrntLeRaw||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGf32WhlSpdFrntLeRawPhys|float32|MAIN|0|0|0|MAIN_MSGf32WhlSpdFrntLeRawPhys|0|0|Phys|kph|1|1|0|Communication|ABS1|Physical|MAIN_MSGf32WhlSpdFrntLeRawPhys||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGu16WhlSpdFrntRiRaw|uint16|MAIN|0|0|0|MAIN_MSGu16WhlSpdFrntRiRaw|0|0|Hexa|-||||Communication|ABS1|Raw|MAIN_MSGu16WhlSpdFrntRiRaw||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGf32WhlSpdFrntRiRawPhys|float32|MAIN|0|0|0|MAIN_MSGf32WhlSpdFrntRiRawPhys|0|0|Phys|kph|1|1|0|Communication|ABS1|Physical|MAIN_MSGf32WhlSpdFrntRiRawPhys||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGu16WhlSpdReLeRaw|uint16|MAIN|0|0|0|MAIN_MSGu16WhlSpdReLeRaw|0|0|Hexa|-||||Communication|ABS1|Raw|MAIN_MSGu16WhlSpdReLeRaw||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGf32WhlSpdReLeRawPhys|float32|MAIN|0|0|0|MAIN_MSGf32WhlSpdReLeRawPhys|0|0|Phys|kph|1|1|0|Communication|ABS1|Physical|MAIN_MSGf32WhlSpdReLeRawPhys||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGu16WhlSpdReRiRaw|uint16|MAIN|0|0|0|MAIN_MSGu16WhlSpdReRiRaw|0|0|Hexa|-||||Communication|ABS1|Raw|MAIN_MSGu16WhlSpdReRiRaw||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGf32WhlSpdReRiRawPhys|float32|MAIN|0|0|0|MAIN_MSGf32WhlSpdReRiRawPhys|0|0|Phys|kph|1|1|0|Communication|ABS1|Physical|MAIN_MSGf32WhlSpdReRiRawPhys||1|||||||NONE|0|1||||1|0|0|Message ABS1 10ms |0||||||
MAIN_MSGbAbsCtrlActv|boolean|MAIN|0|0|0|MAIN_MSGbAbsCtrlActv|0|0|Phys|bool|2|0||Communication|ABS2|Raw|MAIN_MSGbAbsCtrlActv||1|||||||NONE|0|1||||1|0|0|Message ABS2 10ms |0||||||
MAIN_MSGbAbsFlgFlt|boolean|MAIN|0|0|0|MAIN_MSGbAbsFlgFlt|0|0|Phys|bool|2|0||Communication|ABS2|Raw|MAIN_MSGbAbsFlgFlt||1|||||||NONE|0|1||||1|0|0|Message ABS2 10ms |0||||||
MAIN_MSGbEbdFlgFlt|boolean|MAIN|0|0|0|MAIN_MSGbEbdFlgFlt|0|0|Phys|bool|2|0||Communication|ABS2|Raw|MAIN_MSGbEbdFlgFlt||1|||||||NONE|0|1||||1|0|0|Message ABS2 10ms |0||||||
MAIN_MSGu8AccrPedlRat|uint8|MAIN|0|0|0|MAIN_MSGu8AccrPedlRat|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu8AccrPedlRat||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32AccrPedlRatPhys|float32|MAIN|0|0|0|MAIN_MSGf32AccrPedlRatPhys|0|0|Phys|%|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32AccrPedlRatPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu8BrkPedlPsd|uint8|MAIN|0|0|0|MAIN_MSGu8BrkPedlPsd|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu8BrkPedlPsd||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu8ECM1AliveCounter|uint8|MAIN|0|0|0|MAIN_MSGu8ECM1AliveCounter|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu8ECM1AliveCounter||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32ECM1AliveCounterPhys|float32|MAIN|0|0|0|MAIN_MSGf32ECM1AliveCounterPhys|0|0|Phys|NA|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32ECM1AliveCounterPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu8ECM1Checksum|uint8|MAIN|0|0|0|MAIN_MSGu8ECM1Checksum|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu8ECM1Checksum||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32ECM1ChecksumPhys|float32|MAIN|0|0|0|MAIN_MSGf32ECM1ChecksumPhys|0|0|Phys|NA|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32ECM1ChecksumPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu8EngStAct|uint8|MAIN|0|0|0|MAIN_MSGu8EngStAct|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu8EngStAct||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu16EngTqIndAct|uint16|MAIN|0|0|0|MAIN_MSGu16EngTqIndAct|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu16EngTqIndAct||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32EngTqIndActPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngTqIndActPhys|0|0|Phys|NM|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32EngTqIndActPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu16EngTqIndDrvDmd|uint16|MAIN|0|0|0|MAIN_MSGu16EngTqIndDrvDmd|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu16EngTqIndDrvDmd||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32EngTqIndDrvDmdPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngTqIndDrvDmdPhys|0|0|Phys|NM|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32EngTqIndDrvDmdPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu16EngTqLoss|uint16|MAIN|0|0|0|MAIN_MSGu16EngTqLoss|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu16EngTqLoss||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32EngTqLossPhys|float32|MAIN|0|0|0|MAIN_MSGf32EngTqLossPhys|0|0|Phys|NM|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32EngTqLossPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGbHvacCluSts|boolean|MAIN|0|0|0|MAIN_MSGbHvacCluSts|0|0|Phys|bool|2|0||Communication|ECM1|Raw|MAIN_MSGbHvacCluSts||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGu8ThrottleCmdPos|uint8|MAIN|0|0|0|MAIN_MSGu8ThrottleCmdPos|0|0|Hexa|-||||Communication|ECM1|Raw|MAIN_MSGu8ThrottleCmdPos||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
MAIN_MSGf32ThrottleCmdPosPhys|float32|MAIN|0|0|0|MAIN_MSGf32ThrottleCmdPosPhys|0|0|Phys|%|1|1|0|Communication|ECM1|Physical|MAIN_MSGf32ThrottleCmdPosPhys||1|||||||NONE|0|1||||1|0|0|Message ECM1 10ms |0||||||
