Nom_donnée|Type|Nom_module|Public|Nb_lignes|Nb_colonnes|Label_père|Offset|Masque_accès|Affichage|Unité|Fonction_transfert_ades|Coefficient_a|Coefficient_b|Groupe|Groupe_1|Groupe_2|Alias_1|Alias_2|Genre|Variable_indice_ligne|Variable_indice_colonne|Fonction_transfert_ligne|Fonction_transfert_colonne|Table_breakpoint_ligne|Table_breakpoint_colonne|Référence_spécification|Recuperable|Modifiable|Fournisseur|Responsable|Valeurs|Visualisable_ADES|Donnée_a_supprimer|Validation|Commentaires|Volatile|MinDecValue|MaxDecValue|MinPhysValue|MaxPhysValue|Def_Eval|MemSec
SWTST_kbDemTstEnaC|uint8|SWTST|1|0|0|SWTST_kbDemTstEnaC|0|0|Phys|bool|2|0||Application|TST|PWM|SWTST_kbDemTstEnaC||1|||||||NONE|1|1|||0|1|0|0|Activate Dem tests|0|||||0|
SWTST_u16DemCase|uint16|SWTST|0|0|0|SWTST_u16DemCase|0|0|Déci|-||||SWTST|SWTST||SWTST_u16DemCase||1||||||||0|1||||1|0|0||0|||||0|
SWTST_u16NvmCase|uint16|SWTST|0|0|0|SWTST_u16NvmCase|0|0|Déci|-||||SWTST|SWTST||SWTST_u16NvmCase||1||||||||0|1||||1|0|0||0|||||0|
SWTST_u16FiMPermision1|uint16|SWTST|0|0|0|SWTST_u16FiMPermision1|0|0|Déci|-||||SWTST|SWTST||SWTST_u16FiMPermision1||1||||||||0|1||||1|0|0||0|||||0|
SWTST_u16FiMPermision2|uint16|SWTST|0|0|0|SWTST_u16FiMPermision2|0|0|Déci|-||||SWTST|SWTST||SWTST_u16FiMPermision2||1||||||||0|1||||1|0|0||0|||||0|
SWTST_u16FiMPermision3|uint16|SWTST|0|0|0|SWTST_u16FiMPermision3|0|0|Déci|-||||SWTST|SWTST||SWTST_u16FiMPermision3||1||||||||0|1||||1|0|0||0|||||0|
SWTST_u16FiMPermision4|uint16|SWTST|0|0|0|SWTST_u16FiMPermision4|0|0|Déci|-||||SWTST|SWTST||SWTST_u16FiMPermision4||1||||||||0|1||||1|0|0||0|||||0|
SWTST_u16FiMPermision5|uint16|SWTST|0|0|0|SWTST_u16FiMPermision5|0|0|Déci|-||||SWTST|SWTST||SWTST_u16FiMPermision5||1||||||||0|1||||1|0|0||0|||||0|
